gene_id,gene_symbol,pathway_id,pathway_name,degree
hsa:6120,RPE,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),4
hsa:6652,SORD,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:729020,RPEL1; ribulose-phosphate 3-epimerase-like protein 1,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),4
hsa:729920,CRPPA,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),1
hsa:7358,UGDH,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),4
hsa:7360,UGP2,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),4
hsa:7363,UGT2B4,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:7364,UGT2B7,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:7365,UGT2B10,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:7366,UGT2B15,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:7367,UGT2B17,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:79799,UGT2A3; UDP-glucuronosyltransferase 2A3 precursor,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:9365,KL,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),5
hsa:9942,XYLB; xylulose kinase isoform 2,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),2
hsa:197258,FCSK,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),4
hsa:2203,FBP1,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),6
hsa:226,ALDOA,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),10
hsa:229,ALDOB,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),10
hsa:230,ALDOC,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),10
hsa:231,AKR1B1,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),3
hsa:26007,TKFC,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),5
hsa:2762,GMDS,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),5
hsa:282969,FUOM,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),0
hsa:29925,GMPPB,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),5
hsa:29926,GMPPA,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),5
hsa:3098,HK1,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),13
hsa:3099,HK2,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),13
hsa:3101,HK3,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),13
hsa:3795,KHK,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),5
hsa:4351,MPI,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),8
hsa:441282,AKR1B15,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),3
