pathway,gene_symbol,entrez,tdc_idx,weight,matched_via
EGFR,FOXN3,1112,16149,-1.679543012599012,symbol
EGFR,PEX1,5189,9077,-1.661662409061576,symbol
EGFR,TOMM34,10953,21739,1.805978792987492,symbol
EGFR,ABHD18,80167,5925,-1.2730325781368033,symbol
EGFR,NPNT,255743,5830,-1.8713559663434385,symbol
EGFR,SUDS3,64426,14925,-2.195319617651939,symbol
EGFR,GABARAPL1,23710,14048,-2.959643453525015,symbol
EGFR,AUH,549,10903,-2.194003514605811,symbol
Estrogen,GREB1,9687,2471,17.2401728397,symbol
Estrogen,TFF1,7031,22194,14.4302547293,symbol
Estrogen,RET,5979,11683,10.7180267789,symbol
Estrogen,HEY2,23493,8216,11.4823694969,symbol
Estrogen,RAPGEFL1,51195,18679,10.544895916,symbol
Estrogen,PGR,5241,13551,8.52814244888,symbol
Estrogen,C5AR2,27202,20871,4.7330543263,symbol
Estrogen,CXCL12,6387,11700,12.4776735289,symbol
Estrogen,TPD52L1,7164,8213,10.085513349,symbol
Estrogen,NPY1R,4886,6049,10.6645059299,symbol
Estrogen,MYB,4602,8277,9.4277805658,symbol
Estrogen,CALCR,799,9088,5.39627356601,symbol
Estrogen,IL17RB,55540,4426,11.4189859122,symbol
Estrogen,SNX24,28966,6715,6.89935571746,symbol
Estrogen,ARL3,403,12185,3.95094805128,symbol
Estrogen,TGFB3,7043,16096,-5.33026789517,symbol
Estrogen,OLFM1,10439,11342,3.75243310871,symbol
Estrogen,NKAIN1,79570,488,4.73154567799,symbol
Estrogen,FKBP4,2288,13904,8.25832988113,symbol
Estrogen,IGFBP4,3487,18686,11.6514913965,symbol
Estrogen,ERBB3,2065,14486,-4.88074044723,symbol
Estrogen,CTNND2,1501,6242,-3.55466409986,symbol
Estrogen,SIAH2,6478,4942,9.43676093773,symbol
Estrogen,SLC22A5,6584,6758,7.73829566495,symbol
Estrogen,NR5A2,2494,1946,5.15006194006,symbol
Estrogen,MSMB,4477,11766,4.54908081939,symbol
Estrogen,ELOVL2,54898,7347,8.69057624608,symbol
Estrogen,COMT,1312,22349,-3.05468575187,symbol
Estrogen,CELSR2,1952,1122,8.66914415272,symbol
Estrogen,EPS15L1,58513,20264,3.14164436919,symbol
Estrogen,GLA,2717,23347,8.44185876447,symbol
Estrogen,DSCAM,1826,22171,4.14288012519,symbol
Estrogen,ABCC5,10057,5110,-4.8549878295,symbol
Estrogen,PRSS23,11098,13483,8.75522282336,symbol
Estrogen,RLN2,6019,10524,6.71852324093,symbol
Estrogen,SLC25A24,29957,1103,3.66548160476,symbol
Estrogen,DEPTOR,64798,10290,7.46377846634,symbol
Estrogen,NRIP1,8204,22009,10.0200104925,symbol
Estrogen,PCP4,5121,22170,6.36520077341,symbol
Estrogen,ARMCX6,54470,23351,3.3639024049,symbol
Estrogen,MISP,126353,19794,-4.33416825574,symbol
Estrogen,CA12,771,16693,8.41357762757,symbol
Estrogen,EPB41L5,57669,3205,-3.43451140317,symbol
Estrogen,MYO1B,4430,3548,-5.4741888205,symbol
Estrogen,SH3BP4,23677,3862,-4.87774227508,symbol
Estrogen,RNF43,54894,19045,-5.41598767784,symbol
Estrogen,TASOR2,54906,11491,4.93576703606,alias
Estrogen,DDX10,1662,13604,4.62695785919,symbol
Estrogen,MED13L,23389,14907,3.83741058189,symbol
Estrogen,UPK2,7379,13711,-3.38692225002,symbol
Estrogen,ADORA1,134,1999,5.02379225883,symbol
Estrogen,KCNJ3,3760,3344,-2.98207081773,symbol
Estrogen,ASB13,79754,11490,6.99394259362,symbol
Estrogen,PLPP2,8612,19776,-4.47476054597,symbol
Estrogen,CEP43,11116,8461,2.46840962977,alias
Estrogen,IL1R1,3554,3083,-6.86624961006,symbol
Estrogen,XBP1,7494,22487,5.71530844515,symbol
Estrogen,CAP2,10486,7376,5.01154709433,symbol
Estrogen,RHBDF1,64285,17090,-3.65846843274,symbol
Estrogen,ZNF552,79818,21280,2.88661715189,symbol
Estrogen,CAB39L,81617,15332,-4.12631179667,symbol
Estrogen,RAB27B,5874,19658,-5.88914566171,symbol
Estrogen,PLAC1,10761,23549,5.06711601484,symbol
Estrogen,RAB9A,9367,22876,-6.00777315701,symbol
Estrogen,HDAC7,51564,14259,-2.03748800346,symbol
Estrogen,ZDHHC7,55625,17972,-4.83093256313,symbol
Estrogen,SIDT1,54847,4649,-4.23204663804,symbol
Estrogen,RARA,5914,18682,3.02158025348,symbol
Estrogen,EEIG1,399665,11220,5.76083870514,alias
Estrogen,WWC1,23286,7106,5.58743801371,symbol
Estrogen,ELF5,2001,12820,-3.21644433313,symbol
Estrogen,CTR9,9646,12681,4.82318209378,symbol
Estrogen,KIAA0513,9764,17973,-3.62315496931,symbol
Estrogen,SEC14L2,23541,22519,5.23907790111,symbol
Estrogen,MYH14,79784,21003,-2.13654612134,symbol
