idx,gene_symbol,entrez
507,IQCC,55721
508,DCDC2B,149069
509,TMEM234,56063
510,EIF3I,8668
511,MTMR9LP,339483
512,FAM167B,84734
513,LCK,3932
514,HDAC1,3065
515,MARCKSL1,65108
516,FAM229A,100128071
517,TSSK3,81629
518,BSDC1,55108
519,ZBTB8B,728116
520,ZBTB8A,653121
521,ZBTB8OS,339487
522,RBBP4,5928
523,SYNC,81493
524,KIAA1522,57648
525,YARS,8565
526,S100PBP,64766
527,FNDC5,252995
528,HPCA,3208
529,TMEM54,113452
530,RNF19B,127544
531,AK2,204
532,AZIN2,113451
533,TRIM62,55223
534,ZNF362,149076
535,A3GALT2,127550
536,PHC2,1912
537,LOC101929464,101929464
538,ZSCAN20,7579
539,CSMD2,114784
540,HMGB4,127540
541,CSMD2-AS1,402779
542,C1orf94,84970
543,GJB5,2709
544,GJB4,127534
545,GJB3,2707
546,GJA4,2701
547,SMIM12,113444
548,DLGAP3,58512
549,LOC653160,653160
550,ZMYM6NB,100506144
551,ZMYM6,9204
552,ZMYM1,79830
553,SFPQ,6421
554,ZMYM4,9202
555,KIAA0319L,79932
556,NCDN,23154
557,TFAP2E,339488
558,PSMB2,5690
559,C1orf216,127703
560,CLSPN,63967
561,AGO4,192670
562,AGO1,26523
563,AGO3,192669
564,TEKT2,27285
565,ADPRHL2,54936
566,COL8A2,1296
567,TRAPPC3,27095
568,MAP7D1,55700
569,THRAP3,9967
570,SH3D21,79729
571,EVA1B,55194
572,STK40,83931
573,LSM10,84967
574,OSCP1,127700
575,MRPS15,64960
576,CSF3R,1441
577,GRIK3,2899
578,LINC01137,728431
579,ZC3H12A,80149
580,MEAF6,64769
581,SNIP1,79753
582,DNALI1,7802
583,GNL2,29889
584,RSPO1,284654
585,C1orf109,54955
586,CDCA8,55143
587,EPHA10,284656
588,MANEAL,149175
589,YRDC,79693
590,C1orf122,127687
591,MTF1,4520
592,INPP5B,3633
593,SF3A3,10946
594,FHL3,2275
595,UTP11L,51118
596,POU3F1,5453
597,LINC01343,339442
598,RRAGC,64121
599,MYCBP,26292
600,GJA9-MYCBP,100527950
601,GJA9,81025
602,RHBDL2,54933
603,AKIRIN1,79647
604,NDUFS5,4725
605,MACF1,23499
606,KIAA0754,643314
607,BMP8A,353500
608,PPIEL,728448
609,PABPC4,8761
610,LOC101929516,101929516
611,SNORA55,677834
612,HEYL,26508
613,NT5C1A,84618
614,HPCAL4,51440
615,PPIE,10450
616,BMP8B,656
617,OXCT2,64064
618,TRIT1,54802
619,MYCL,4610
620,MFSD2A,84879
621,CAP1,10487
622,PPT1,5538
623,RLF,6018
624,ZMPSTE24,10269
625,COL9A2,1298
626,SMAP2,64744
627,ZFP69B,65243
628,ZFP69,339559
629,EXO5,64789
630,ZNF684,127396
631,RIMS3,9783
632,NFYC-AS1,100130557
633,NFYC,4802
634,KCNQ4,9132
635,CITED4,163732
636,CTPS1,1503
637,SLFNL1-AS1,100507178
638,SLFNL1,200172
639,SCMH1,22955
640,FOXO6,100132074
641,EDN2,1907
642,HIVEP3,59269
643,GUCA2B,2981
644,GUCA2A,2980
645,FOXJ3,22887
646,RIMKLA,284716
647,ZMYND12,84217
648,PPCS,79717
649,CCDC30,728621
650,PPIH,10465
651,YBX1,4904
652,CLDN19,149461
653,P3H1,64175
654,C1orf50,79078
655,LOC100129924,100129924
656,SVBP,374969
657,ERMAP,114625
658,ZNF691,51058
659,LOC339539,339539
660,SLC2A1,6513
661,SLC2A1-AS1,440584
662,FAM183A,440585
663,EBNA1BP2,10969
664,CFAP57,149465
665,TMEM125,128218
666,C1orf210,149466
667,TIE1,7075
668,MPL,4352
669,CDC20,991
670,ELOVL1,64834
671,MED8,112950
672,SZT2,23334
673,HYI,81888
674,PTPRF,5792
675,KDM4A,9682
676,KDM4A-AS1,100132774
677,ST3GAL3,6487
678,LOC101929592,101929592
679,ARTN,9048
680,IPO13,9670
681,DPH2,1802
682,ATP6V0B,533
683,B4GALT2,8704
684,CCDC24,149473
685,SLC6A9,6536
686,KLF17,128209
687,DMAP1,55929
688,ERI3,79033
689,ERI3-IT1,100874278
690,RNF220,55182
691,TMEM53,79639
692,C1orf228,339541
693,KIF2C,11004
694,RPS8,6202
695,BEST4,266675
696,PLK3,1263
697,TCTEX1D4,343521
698,BTBD19,149478
699,PTCH2,8643
700,EIF2B3,8891
701,HECTD3,79654
702,UROD,7389
703,ZSWIM5,57643
704,LINC01144,400752
705,HPDL,84842
706,MUTYH,4595
707,TOE1,114034
708,TESK2,10420
